sample,taxa,subspecies
91,glandulosa,gln
92,glandulosa,gln
93,glandulosa,gln
94,glandulosa,gln
37,glandulosa_subsp_adamsii,gln_ad
38,glandulosa_subsp_admsii,gln_ad
67,glandulosa_subsp_admsii,gln_ad
71,glandulosa_subsp_admsii,gln_ad
72,glandulosa_subsp_admsii,gln_ad
D3,glandulosa_subsp_admsii,gln_ad
D4,glandulosa_subsp_admsii,gln_ad
27,glandulosa_subsp_crassifolia,gln_cr
28,glandulosa_subsp_crassifolia,gln_cr
29,glandulosa_subsp_crassifolia,gln_cr
87,glandulosa_subsp_crassifolia,gln_cr
88,glandulosa_subsp_crassifolia,gln_cr
89,glandulosa_subsp_crassifolia,gln_cr
90,glandulosa_subsp_crassifolia,gln_cr
42683,glandulosa_subsp_crassifolia,gln_cr
42683_dupl,glandulosa_subsp_crassifolia,gln_cr
C1,glandulosa_subsp_crassifolia,gln_cr
C2,glandulosa_subsp_crassifolia,gln_cr
C3,glandulosa_subsp_crassifolia,gln_cr
C4,glandulosa_subsp_crassifolia,gln_cr
C5,glandulosa_subsp_crassifolia,gln_cr
1,glandulosa_subsp_cushingiana,gln_cu
2,glandulosa_subsp_cushingiana,gln_cu
B6,glandulosa_subsp_cushingiana,gln_cu
L5,glandulosa_subsp_cushingiana,gln_cu
L6,glandulosa_subsp_cushingiana,gln_cu
L7,glandulosa_subsp_cushingiana,gln_cu
L8,glandulosa_subsp_cushingiana,gln_cu
L9,glandulosa_subsp_cushingiana,gln_cu
N2,glandulosa_subsp_cushingiana,gln_cu
N3,glandulosa_subsp_cushingiana,gln_cu
N4,glandulosa_subsp_cushingiana,gln_cu
N5,glandulosa_subsp_cushingiana,gln_cu
N6,glandulosa_subsp_cushingiana,gln_cu
77,glandulosa_subsp_erecta,gln_er
78,glandulosa_subsp_erecta,gln_er
79,glandulosa_subsp_erecta,gln_er
32,glandulosa_subsp_gabrielensis,gln_gb
33,glandulosa_subsp_gabrielensis,gln_gb
34,glandulosa_subsp_gabrielensis,gln_gb
35,glandulosa_subsp_gabrielensis,gln_gb
MC4,glandulosa_subsp_gabrielensis,gln_gb
MC4_dupl,glandulosa_subsp_gabrielensis,gln_gb
G7,glandulosa_subsp_gabrielensis,gln_gb
G8,glandulosa_subsp_gabrielensis,gln_gb
G9,glandulosa_subsp_gabrielensis,gln_gb
H1,glandulosa_subsp_gabrielensis,gln_gb
H2,glandulosa_subsp_gabrielensis,gln_gb
4,glandulosa_subsp_glandulosa,gln_gl
5,glandulosa_subsp_glandulosa,gln_gl
6,glandulosa_subsp_glandulosa,gln_gl
17,glandulosa_subsp_glandulosa,gln_gl
18,glandulosa_subsp_glandulosa,gln_gl
19,glandulosa_subsp_glandulosa,gln_gl
20,glandulosa_subsp_glandulosa,gln_gl
21,glandulosa_subsp_glandulosa,gln_gl
22,glandulosa_subsp_glandulosa,gln_gl
24,glandulosa_subsp_glandulosa,gln_gl
25,glandulosa_subsp_glandulosa,gln_gl
26,glandulosa_subsp_glandulosa,gln_gl
44,glandulosa_subsp_glandulosa,gln_gl
45,glandulosa_subsp_glandulosa,gln_gl
46,glandulosa_subsp_glandulosa,gln_gl
47,glandulosa_subsp_glandulosa,gln_gl
48,glandulosa_subsp_glandulosa,gln_gl
49,glandulosa_subsp_glandulosa,gln_gl
50,glandulosa_subsp_glandulosa,gln_gl
51,glandulosa_subsp_glandulosa,gln_gl
52,glandulosa_subsp_glandulosa,gln_gl
53,glandulosa_subsp_glandulosa,gln_gl
54,glandulosa_subsp_glandulosa,gln_gl
55,glandulosa_subsp_glandulosa,gln_gl
56,glandulosa_subsp_glandulosa,gln_gl
57,glandulosa_subsp_glandulosa,gln_gl
58,glandulosa_subsp_glandulosa,gln_gl
59,glandulosa_subsp_glandulosa,gln_gl
60,glandulosa_subsp_glandulosa,gln_gl
61,glandulosa_subsp_glandulosa,gln_gl
PF7,glandulosa_subsp_glandulosa,gln_gl
42813,glandulosa_subsp_glandulosa,gln_gl
PF7_dupl,glandulosa_subsp_glandulosa,gln_gl
42813_dupl,glandulosa_subsp_glandulosa,gln_gl
B3,glandulosa_subsp_glandulosa,gln_gl
I3,glandulosa_subsp_glandulosa,gln_gl
I4,glandulosa_subsp_glandulosa,gln_gl
I5,glandulosa_subsp_glandulosa,gln_gl
I6,glandulosa_subsp_glandulosa,gln_gl
L1,glandulosa_subsp_glandulosa,gln_gl
L2,glandulosa_subsp_glandulosa,gln_gl
L3,glandulosa_subsp_glandulosa,gln_gl
L4,glandulosa_subsp_glandulosa,gln_gl
N8,glandulosa_subsp_glandulosa,gln_gl
O6,glandulosa_subsp_glandulosa,gln_gl
C6,glandulosa_subsp_glandulosa,gln_gl
C8,glandulosa_subsp_glandulosa,gln_gl
C9,glandulosa_subsp_glandulosa,gln_gl
D1,glandulosa_subsp_glandulosa,gln_gl
D2,glandulosa_subsp_glandulosa,gln_gl
8,glandulosa_subsp_leucophylla,gln_lu
9,glandulosa_subsp_leucophylla,gln_lu
10,glandulosa_subsp_leucophylla,gln_lu
11,glandulosa_subsp_leucophylla,gln_lu
12,glandulosa_subsp_leucophylla,gln_lu
13,glandulosa_subsp_leucophylla,gln_lu
14,glandulosa_subsp_leucophylla,gln_lu
30,glandulosa_subsp_leucophylla,gln_lu
31,glandulosa_subsp_leucophylla,gln_lu
36,glandulosa_subsp_leucophylla,gln_lu
39,glandulosa_subsp_leucophylla,gln_lu
40,glandulosa_subsp_leucophylla,gln_lu
41,glandulosa_subsp_leucophylla,gln_lu
42,glandulosa_subsp_leucophylla,gln_lu
43,glandulosa_subsp_leucophylla,gln_lu
62,glandulosa_subsp_leucophylla,gln_lu
63,glandulosa_subsp_leucophylla,gln_lu
64,glandulosa_subsp_leucophylla,gln_lu
65,glandulosa_subsp_leucophylla,gln_lu
66,glandulosa_subsp_leucophylla,gln_lu
68,glandulosa_subsp_leucophylla,gln_lu
69,glandulosa_subsp_leucophylla,gln_lu
70,glandulosa_subsp_leucophylla,gln_lu
73,glandulosa_subsp_leucophylla,gln_lu
74,glandulosa_subsp_leucophylla,gln_lu
Julian4,glandulosa_subsp_leucophylla,gln_lu
Julian4_dupl,glandulosa_subsp_leucophylla,gln_lu
B8,glandulosa_subsp_leucophylla,gln_lu
15,glandulosa_subsp_mollis,gln_ml
16,glandulosa_subsp_mollis,gln_ml
23,glandulosa_subsp_mollis,gln_ml
A1,glandulosa_subsp_mollis,gln_ml
A2,glandulosa_subsp_mollis,gln_ml
A3,glandulosa_subsp_mollis,gln_ml
A4,glandulosa_subsp_mollis,gln_ml
A5,glandulosa_subsp_mollis,gln_ml
A6,glandulosa_subsp_mollis,gln_ml
A7,glandulosa_subsp_mollis,gln_ml
A9,glandulosa_subsp_mollis,gln_ml
B1,glandulosa_subsp_mollis,gln_ml
B2,glandulosa_subsp_mollis,gln_ml
G1,glandulosa_subsp_mollis,gln_ml
G2,glandulosa_subsp_mollis,gln_ml
G3,glandulosa_subsp_mollis,gln_ml
G4,glandulosa_subsp_mollis,gln_ml
O3,otayensis?_glandulosa?,nd
